"carrier","carrier_name","year","total_delay","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","total_delay_rel","carrier_delay_rel","weather_delay_rel","nas_delay_rel","security_delay_rel","late_aircraft_delay_rel","total_delay.pct","carrier_delay.pct","weather_delay.pct","nas_delay.pct","security_delay.pct","late_aircraft_delay.pct"
"9E","Endeavor Air Inc.",2013,961559,357433,38390,242851,1141,321744,0.0133665701005713,0.0169103818786646,0.0129078766290773,0.0139354373873076,0.0110080944708686,0.0106200035747252,0.00248621250284048,0.0030161731614333,0.00230066910577145,0.00262135447704722,0.00222938212312989,0.00203109005064847
"9E","Pinnacle Airlines Inc.",2010,2614748,918581,121454,631091,3105,940517,0.0413349892529736,0.0477991810071078,0.043606734424525,0.0388863399723879,0.0289079229122056,0.0377440986733701,0.00676070752743944,0.0077513809827368,0.00727860030144219,0.00681205026240044,0.00606681112385478,0.00593725048848074
"9E","Pinnacle Airlines Inc.",2013,2157650,701948,92337,634203,2077,727085,0.0299933545185451,0.033209604986011,0.0310464861760642,0.0363922577932257,0.0200383980858844,0.0239993451288263,0.00557883229916601,0.00592333869094846,0.0055336515556035,0.00684564145672359,0.00405821794017597,0.00458990722274772
"AA","American Airlines Inc.",2010,5565988,1993052,358453,1502617,5964,1705902,0.0879893795356876,0.103710237098937,0.128698641252443,0.0925877179523866,0.055525556279676,0.0684599357747913,0.0143914507131233,0.0168182287358497,0.0214816812443629,0.0162193764910882,0.011652966680409,0.0107689361093954
"AA","American Airlines Inc.",2011,5920542,2133621,401882,1508508,2337,1874194,0.095994350601082,0.11499990756332,0.157084991125219,0.0985746127773193,0.028726660356717,0.0744325453394819,0.0153081875828651,0.0180044103282866,0.024084331898037,0.0162829644492366,0.00456622788935543,0.0118313217538946
"AA","American Airlines Inc.",2012,6203856,2140405,343832,1419535,4362,2295722,0.108998885599325,0.117828311053683,0.150816076778328,0.110652014658867,0.0597108908722554,0.0974020210481727,0.0160407258972377,0.0180616566338241,0.0206054613174162,0.015322582272979,0.00852284383969551,0.0144923234411669
"AA","American Airlines Inc.",2013,6355728,1927664,341701,1406221,6384,2673758,0.0883505680381172,0.0911990061738958,0.114890188904202,0.080692707455259,0.0615913015793384,0.0882543870839864,0.0164334070174096,0.0162664567095404,0.020477752907299,0.0151788698175747,0.0124735981367758,0.0168787709223537
"AA","American Airlines Inc.",2014,7131277,2196265,408197,1632082,4225,2890508,0.101416171839394,0.103307904749375,0.136581535124833,0.0987970071095767,0.0646518745218057,0.0980365475710474,0.0184386709901512,0.018533027304125,0.0244627826769624,0.0176168327806276,0.00825516167416633,0.0182470598989253
"AA","American Airlines Inc.",2015,7831435,2753994,467420,1760561,16158,2833302,0.124999227876162,0.136519110040194,0.150769313145173,0.122809028219079,0.199518429338766,0.113504920753126,0.0202490035579539,0.023239384135064,0.0280119498155689,0.0190036461017856,0.0315708644570839,0.0178859326131409
"AS","Alaska Airlines Inc.",2010,741330,239594,29271,213336,2438,256691,0.0117192431480613,0.0124674873247073,0.0105094333932211,0.0131452614984992,0.0226980728051392,0.0103013240936273,0.00191678712874689,0.00202179707089287,0.00175417779096213,0.0023027670411707,0.00476357021576746,0.0016204266006235
