"carrier","carrier_name","year","total_delay","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","total_delay_rel","carrier_delay_rel","weather_delay_rel","nas_delay_rel","security_delay_rel","late_aircraft_delay_rel"
"9E","Endeavor Air Inc.",2013,961559,357433,38390,242851,1141,321744,1.33665701005713,1.69103818786646,1.29078766290773,1.39354373873076,1.10080944708686,1.06200035747252
"9E","Pinnacle Airlines Inc.",2007,3114939,1127692,200696,757374,1919,1027258,3.08514476971256,3.91192028881187,3.49322176151698,2.68482132333197,1.08451165892419,2.70281669325523
"9E","Pinnacle Airlines Inc.",2008,2628113,908509,149270,662837,1553,905944,3.03344169110658,3.7778642799173,3.22138792679829,2.53266711756425,1.35851499352672,2.86055281800499
"9E","Pinnacle Airlines Inc.",2009,2083698,708431,105985,622826,2023,644433,3.15683985377107,3.82810217386594,3.22105947130071,3.08020371225214,2.56641209753127,2.69521457037682
"9E","Pinnacle Airlines Inc.",2010,2614748,918581,121454,631091,3105,940517,4.13349892529736,4.77991810071078,4.3606734424525,3.88863399723879,2.89079229122056,3.77440986733701
"9E","Pinnacle Airlines Inc.",2013,2157650,701948,92337,634203,2077,727085,2.99933545185451,3.3209604986011,3.10464861760642,3.63922577932257,2.00383980858844,2.39993451288263
"AA","American Airlines Inc.",2007,10869722,2700300,811124,3275624,7775,4074899,10.7657536717507,9.36723711428182,14.1180492291261,11.6117864653631,4.39399590835622,10.721459497545
"AA","American Airlines Inc.",2008,9569077,2821907,418677,2987319,6626,3334548,11.0448968964459,11.7343709930761,9.03544605766817,11.4143969044802,5.79621400328913,10.5289628036312
"AA","American Airlines Inc.",2009,6796315,2283295,432667,1884383,3531,2192439,10.2965391581612,12.3380915757176,13.1494658514815,9.31926976700527,4.4794864638571,9.16944591208454
"AA","American Airlines Inc.",2010,5565988,1993052,358453,1502617,5964,1705902,8.79893795356876,10.3710237098937,12.8698641252443,9.25877179523866,5.5525556279676,6.84599357747913
